REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,acres_use,top_hiv
3,6,21,01779786,21,KY,Kentucky,00,G4000,A,102266253024,2389483091,+37.5336844,-085.2929801,20,1
3,7,22,01629543,22,LA,Louisiana,00,G4000,A,111903220951,23747902252,+30.8634368,-091.7987173,0,
1,1,23,01779787,23,ME,Maine,00,G4000,A,79885774936,11748561064,+45.4092789,-068.6665979,24,
3,5,24,01714934,24,MD,Maryland,00,G4000,A,25147417568,6983598596,+38.9466584,-076.6744939,15,
1,1,25,00606926,25,MA,Massachusetts,00,G4000,A,20205425910,7130316321,+42.1565196,-071.4895915,0,
2,3,26,01779789,26,MI,Michigan,00,G4000,A,146455475554,104031185771,+44.8441757,-085.6604930,650,
2,4,27,00662849,27,MN,Minnesota,00,G4000,A,206236191895,18924724649,+46.3161343,-094.1994801,73,
3,6,28,01779790,28,MS,Mississippi,00,G4000,A,121531969224,3928386321,+32.6864714,-089.6561377,0,1
2,4,29,01779791,29,MO,Missouri,00,G4000,A,178052626882,2487589369,+38.3507500,-092.4567826,0,1
4,8,30,00767982,30,MT,Montana,00,G4000,A,376964776680,3868193267,+47.0511771,-109.6348174,12,
2,4,31,01779792,31,NE,Nebraska,00,G4000,A,198972429772,1356294775,+41.5433014,-099.8118616,24,
4,8,32,01779793,32,NV,Nevada,00,G4000,A,284332114099,2047841189,+39.3310928,-116.6151469,0,
1,1,33,01779794,33,NH,New Hampshire,00,G4000,A,23188026108,1026190438,+43.6726907,-071.5843145,2,
1,2,34,01779795,34,NJ,New Jersey,00,G4000,A,19048075783,3543447118,+40.1072744,-074.6652012,15,
4,8,35,00897535,35,NM,New Mexico,00,G4000,A,314161426332,755674004,+34.4346843,-106.1316181,0,
1,2,36,01779796,36,NY,New York,00,G4000,A,122054140553,19242497698,+42.9133974,-075.5962723,300,
3,5,37,01027616,37,NC,North Carolina,00,G4000,A,125918092834,13472548815,+35.5397100,-079.1308636,30,
2,4,38,01779797,38,ND,North Dakota,00,G4000,A,178711991307,4398999691,+47.4421698,-100.4608163,2,
2,3,39,01085497,39,OH,Ohio,00,G4000,A,105831379985,10266305761,+40.4149297,-082.7119975,70,
3,7,40,01102857,40,OK,Oklahoma,00,G4000,A,177663043025,3374050771,+35.5900512,-097.4868149,0,1
4,9,41,01155107,41,OR,Oregon,00,G4000,A,248608778890,6190771822,+43.9717125,-120.6229578,7765,
1,2,42,01779798,42,PA,Pennsylvania,00,G4000,A,115883499352,3396643587,+40.9024957,-077.8334514,15,
1,1,44,01219835,44,RI,Rhode Island,00,G4000,A,2677759613,1323474145,+41.5974187,-071.5272723,10,
3,5,45,01779799,45,SC,South Carolina,00,G4000,A,77858297564,5074366056,+33.8741769,-080.8542699,0,1
2,4,46,01785534,46,SD,South Dakota,00,G4000,A,196349394266,3379810671,+44.4467957,-100.2381762,0,
3,6,47,01325873,47,TN,Tennessee,00,G4000,A,106800181941,2352826875,+35.8585639,-086.3493573,0,
3,7,48,01779801,48,TX,Texas,00,G4000,A,676634395761,19027462392,+31.4347032,-099.2818238,0,
4,8,49,01455989,49,UT,Utah,00,G4000,A,212885012434,6999936465,+39.3349925,-111.6563326,0,
1,1,50,01779802,50,VT,Vermont,00,G4000,A,23872224593,1034382802,+44.0604795,-072.6733274,25,
3,5,51,01779803,51,VA,Virginia,00,G4000,A,102282988386,8503553482,+37.5222512,-078.6681938,30,
4,9,53,01779804,53,WA,Washington,00,G4000,A,172121026344,12540093192,+47.4073238,-120.5757999,37444,
3,5,54,01779805,54,WV,West Virginia,00,G4000,A,62266577599,489469489,+38.6472854,-080.6183274,0,
2,3,55,01779806,55,WI,Wisconsin,00,G4000,A,140269484183,29365442607,+44.6309071,-089.7093916,297,
4,8,56,01779807,56,WY,Wyoming,00,G4000,A,251465042238,1861255811,+42.9918024,-107.5419255,0,
9,0,60,01802701,60,AS,American Samoa,00,G4000,A,197749662,1307107436,-14.2661268,-170.6646074,0,
9,0,66,01802705,66,GU,Guam,00,G4000,A,543558314,934345914,+13.4382886,+144.7729493,0,
9,0,69,01779809,69,MP,Commonwealth of the Northern Mariana Islands,00,G4000,A,472262566,4644320317,+14.9367835,+145.6010210,0,
9,0,72,01779808,72,PR,Puerto Rico,00,G4000,A,8867867645,4923406204,+18.2176480,-066.4107992,0,
9,0,78,01802710,78,VI,United States Virgin Islands,00,G4000,A,347962916,1550265400,+18.3267484,-064.9712504,0,
